时装豪礼,Hào Lễ Thời Trang
觉醒技的激活及升级，都需要消耗一定数量的<color=#fccb15>觉醒秘酒</color>。,"Kích hoạt và tăng cấp kỹ năng Thức Tỉnh, đều cần hao <color=#fccb15>rượu bí ẩn Thức Tỉnh</color> số lượng nhất định. "
该死的风灵，怎么总是你。,"Phong linh thối, lại là ngươi."
中级嗜血,Thị Huyết 2
我剑心怎么可能是恶魔的奴隶？,Kensin ta sao có thể làm nô lệ cho ác ma?
竞猜,Dự Đoán
不要以为你可以就此跑掉，崔克斯！我会抓住你的，我一定会！,"Đừng nghĩ ngươi sẽ chạy thoát, Trix! Ta sẽ bắt được ngươi!"
跃浪强袭,Sóng Công Kích
随之而来，德古拉的伤口开始愈合，整副身体也开始变得充满了力量，于是他开始想到这蝙蝠和血月之事……,"Sau đó, vết thương của Dracula bắt đầu lành, toàn bộ cơ thể cũng bắt đầu tràn đầy sức mạnh. Vì vậy, hắn bắt đầu nghĩ về chuyện con dơi và mặt trăng máu..."
闪耀,Chiếu Sáng
  这些位于滚烫岩浆池上的岩石地带，是沐血斗士团的大营所在。崎岖的岩刺生长在石路的两旁，另一些则与营寨连在一起。<br/>  路面如热锅般炙热，时而还会产生晃动，使行路者要么吓破胆，要么直接跌进底下的岩浆池中。似乎也只有沐血斗士才能忍受如此恶劣的环境。<br/>  与其切磋一番吧，这是他们唯一的乐子。,"Mảnh đất nham thạch nóng chảy này là đại bản doanh của các Đấu Sĩ Hũng Hãn.<br/>Mặt đường như chảo nóng, thỉnh thoảng còn có gợn sóng lửa lay động, khiến người đi đường hoặc sợ hãi hoặc bị ngã xuống nham thạch. Tựa hồ chỉ các Đấu Sĩ Hung Hãn mới chịu được hoàn cảnh như vậy.<br/>Luận bàn với bọn họ đi, đây là niềm vui duy nhất của bọn họ."
亚,A
快速选择,Chọn nhanh
恶魔，你感受过痛苦吗？,"Ác quỷ, ngươi đã bao giờ cảm thấy đau đớn chưa?"
十分遗憾，您向<color=#ffffff isUserName=true>【%s】</color>公会发出的加入申请已被拒绝。他们的眼光真不行！,"Rất tiếc, bạn xin gia nhập bang <color=#ffffff isUserName=true>[%s]</color> nhưng bị từ chối."
请求超时，请重试。,"Yêu cầu quá hạn, hãy thử lại."
点击<color=#fccb15>分解</color>，并且别去深究这是什么意思。,"Nhấn <color=#fccb15>phân giải</color>, đi xem là gì"
PVP战斗中，被永茂英雄攻击时最终伤害降低6%。,"Trong đấu PvP, giảm 6% sát thương cuối nhận từ các tướng hệ Mộc"
焰息护腕,Găng Lửa
1.<color=#bde141>【中级稀有】</color>,1. <color=#bde141>[Hiếm 2]</color>
迷域积分,Điểm Mê Vực
莉莉丝再次变换“噩梦形态”，维多利亚也已赶到，昔日的好友变成了敌人，最终的对决一触即发！,"Lilith lại biến thành ""dạng ác mộng"", và Victoria đã đến, và người bạn cũ của cô đã trở thành kẻ thù, và trận đấu cuối cùng sắp xảy ra!"
3级领主,Lãnh Chúa Cấp 3
5星装备宝箱,Rương Trang Bị 5 Sao
鬼府弓兵普攻,Quỷ Cung Binh công cơ bản
英雄招募,Triệu Hồi Tướng
1、活动期间，在限时卡池可以抽取到所有的英雄。同时，新英雄的获取概率大幅提升！(抽中5星英雄时有35%概率获得新英雄)<br/>2、当抽取到限时英雄时候，奖励次数将会重置。<br/>3、活动期间新英雄只能在限时卡池里抽取到。,"1. Trong thời gian hoạt động, có thể rút toàn bộ loại tướng trong Kho Giới Hạn. Đồng thời, tăng tỉ lệ nhận được tướng mới! (rút tướng 5 sao có 35% tỉ lệ nhận được tướng mới)<br/>2. Khi rút được tướng hiếm, sẽ làm mới số lượt thưởng.<br/>3. Trong thời gian hoạt động chỉ có thể rút được tướng mới ở Kho Giới Hạn."
伸张正义？可以，但要去你去，可不关我的事。冒险者，你也帮我劝劝这个木脑瓜。,"Công bằng? Được, ngươi muốn thì đi đi, không liên quan tới ta, nhưng ngươi phải giúp ta khuyên hắn."
见习骑士,Kỵ Sĩ Tập Sự
星数奖励,Quà sao
当前伤害：{0},Sát thương hiện tại: {0}
莉莉丝碎片,Mảnh Lilith
丛原部落的人没想到会有守护小队的突然到来，他们只能暂时撤离高枝回廊。但是一向破坏成性的丛原部落绝不会轻易饶过对手，他们决定耍一个“小诡计”报复守护小队。,"Người dân Bộ Tộc Thảo Nguyên trở tay không kịp nên chỉ có thể tạm thời chạy khỏi Hẻm Ánh Sáng. Tuy nhiên, Bộ Tộc Thảo Nguyên không cam chịu như vậy, họ quyết định chơi một số “chiêu trò nhỏ” để trả thù đội Thủ hộ."
确认花费{0}<color=fccb15>{1}</color>，重置<color=fccb15>{2}系天命</color>吗？重置将返还<color=bde141>100%材料和50%金币</color>,"Xác nhận dùng {0}<color=fccb15>{1}</color>, làm mới <color=fccb15>Thiên Minh Hệ {2}</color>? Làm mới sẽ hoàn trả<color=bde141>100% nguyên liệu và 50% Vàng</color>"
总管,Tổng Quản
钻研,Nghiên Cứu
当前轮次已召唤：200次,Hiện đã gọi: 200 lần
没有名字,Vô Danh
集齐50个碎片即可召唤【荧】。<br/><br/><color=#bde141>定位：法术输出</color><br/><color=#bde141>特长：后排敏攻系英雄，能够造成大范围的技能伤害并附带冰冻控制。</color>,"Thu thập 50 mảnh để triệu hồi [Stamira].<br/><br/><color=#bde141>Vị trí: Sát thương phép</color><br/><color=#bde141>Sở trường: Tướng Cường Công hàng sau, gây sát thương quần thể kèm hiệu ứng đóng băng, có khả năng xuyên thấu phòng thủ địch.</color>"
"      我也是个嗜酒之人，只不过比起喝酒，还是酿酒更使我心醉神迷。酿出举世罕见的美酒，一直是我的毕生追求。
      然而，巧妇难为无米之炊。有时候手艺到了，原材料却难得！
      为了获得那些珍稀的材料，我常会身陷险境。呼，对一个手无寸铁、体格肥胖的酒匠来说，对付那些不讲道理的怪物，是件不太容易的事情。尤其是逃跑的时候。
      记得有一次，在取得关键材料酣眠草之前，一群嘴里喷火的蜥蜴怪，跑过来找我的茬。我本该掉头就跑，可材料就在我眼前了！
      一个疯狂的想法浮现在我的脑海之中。我将装满烈酒的酒桶，砸向了那些怪物。酒精与火焰碰撞，呜呼！好一场壮烈的爆炸！
      只是损失了一整桶好酒，令我倍感可惜。","ta cũng là một người nghiện rượu, nhưng ta mê ủ rượu hơn là rượu. Sản xuất các loại rượu quý hiếm trên thế giới luôn là mục tiêu theo đuổi suốt đời của ta.
Tuy nhiên, một người phụ nữ khéo nấu ăn mà không có cơm cũng khó. Đôi khi, sự khéo léo đến từ nghề thủ công, nhưng nguyên liệu thô rất hiếm!
ta thường gặp nguy hiểm để có được những vật liệu quý hiếm đó. Hừ, đối với một nhà sản xuất rượu không có vũ khí, không dễ đối phó với những con quái vật vô lý đó. Đặc biệt là khi chạy trốn.
ta nhớ một lần, trước khi ta lấy được nguyên liệu quan trọng là cỏ Hàm Miên, một nhóm quái vật thằn lằn có miệng thở ra lửa đã đến tìm ta. ta đã định quay lại và bỏ chạy, nhưng vật liệu đang ở ngay trước mặt ta!
Một ý tưởng điên rồ nảy ra trong đầu ta. ta ném cái thùng đầy rượu vào những con quái vật đó. Rượu và lửa va vào nhau, thật tuyệt! Thật là một vụ nổ hoành tráng!
Chỉ tiếc mất cả thùng rượu ngon."
魔法伤害提升至114%。,Tăng 114% sát thương phép
您当前的寻宝道具不足，是否消耗火柴进行寻宝,"Đạo cụ tầm bảo hiện không đủ, dùng Hỏa Diêm để tầm bảo?"
这几年辛苦你了，我这儿子可调皮的很啊。,"Mấy năm qua vất vả cho ngươi rồi, đứa con này của ta quả thực nghịch ngợm."
魔化蕾温,Reywin Ma Hóa
维多利亚的协同作战策略果然奏效，敌人的行动混乱，面对散开的小队没能形成有效的攻击，反而被协同小组打了一个措手不及，幻影士兵的攻势从而顺利瓦解。此时，维多利亚想要先为逃离陷阱做一个有效的部署……,"Chiến lược chiến đấu phối hợp của Victoria đã thực sự phát huy tác dụng. Hành động của kẻ thù rất hỗn loạn. Đối mặt với các đội phân tán, họ không thể hình thành một cuộc tấn công hiệu quả. Thay vào đó, họ mất cảnh giác trước đội phối hợp, và cuộc tấn công của sĩ binh ảo ảnh đã sụp đổ một cách bất ngờ. Lúc này , Victoria muốn triển khai một cách hiệu quả để thoát khỏi cái bẫy ..."
斩风浪客普攻,Kensin công cơ bản
技能2等级II-伤害+减伤害,Kỹ năng 2 cấp 2 - Sát thương + Giảm sát thương
<color=#D39D0D>德古拉</color>在试炼内攻击力和暴击率提升<color=#bde156>39%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>29000</color>，最大生命值提升<color=#bde141>145000</color>,"<color=#D39D0D>Dracula</color> trong Thí Luyện, tăng <color=#bde141>39%</color> tấn công và bạo kích<br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tăng <color=#bde141>29000</color> điểm tấn công và <color=#bde141>145000</color> điểm HP."
0阶Lv.0,Bậc 0 Cấp 0
噬魂魔镰,Lưỡi Phệ Hồn
荣耀赛,Giải Đấu Vinh Diệu
公会详情,Chi Tiết Bang
琴师,Nghệ Sĩ Chơi Đàn
我方强攻、敏攻系英雄战斗中造成的最终伤害提高3%。,Tăng 3% sát thương cuối cho tướng Cường Công và Tấn Công phe ta
当前层数,Tầng hiện tại
毁灭,Hủy Diệt
战斗开始时，增加10%最终免伤，持续2回合，不可驱散。,"Vào trận, tăng 10% miễn sát thương cuối trong 2 lượt, không thể hóa giải."
派对热卖,Hàng HOT
活动期间，时空迷域的奖励,"Trong hoạt động, thưởng Thời Không Vực"
(已解锁),(đã mở khóa)
狩猎,Săn Lùng
输出,Ra đòn
当前英雄还原为{0}星后会,Tướng hiện tại khôi phục {0} sao sẽ
德古拉是高频攻击型的魔族强攻英雄，最多能额外射击2次，可以配合单体增伤效果，比如剑心的荆棘印记。,"Dracula là tướng Tấn Công hệ Ác Quỷ, có khả năng bắn tối đa 2 phát súng, kết hợp hiệu quả với các hiệu ứng tăng sát thương đơn như của Kensin."
"阿男存活时,所有敌方目标受到的【燃烧】伤害增加60%。","Khi Leon còn sống sót, tăng 60% sát thương [Thiêu Đốt] lên toàn bộ mục tiêu nhận phải."
正义是必须之物，但过剩的正义却往往导致无法挽回的错误。明白了这点之后，阿克斯将更加无往不利。,"Chính nghĩa là điều bắt buộc, nhưng cái gì quá đà cũng dẫn tới sai lầm không thể cứu vãn. Nếu hiểu rõ điều này, Alvine làm gì cũng sẽ thuận lợi"
每回合结束时，敌方全体英雄防御下降3%，最多下降15%（可被驱散）。,"Mỗi lượt kết thúc, giảm 3% phòng thủ toàn bộ địch, tối đa 15% (có thể hóa giải)."
四族本体,Bản Thể Tứ Hệ
阿克斯将罗丝所率领的小队击退，为了救助受伤的队友，罗丝也能暂时撤退，而联军请求阿克斯恩师的说服计划也宣告失败。,"Alvine đánh bại tiểu đội mà Athena thống lĩnh, vì cứu đồng đội bị thương, Athena chỉ đành rút lui, kế hoạch xin thầy của Alvine giúp đỡ cũng thất bại."
降低目标治疗效果和受疗效果提升至21%。,Giảm 21% hiệu quả trị liệu và hồi HP của mục tiêu
个普通奖励,quà thường
物理伤害提升至403%，【狩猎】的触发概率提升至100%。,"Tăng 403% sát thương vật lý, tăng 100% tỉ lệ gây [Săn Lùng]"
嗯，大家准备好，投入战斗！,"Tình hình có vẻ nguy hiểm, tất cả hãy cẩn thận!"
酒池,Hồ Rượu
鹰眼,Ưng Nhãn
任务进度,Tiến độ nhiệm vụ
回魂魔药,Thuốc Trường Sinh
剩余波数:,Số đợt còn lại:
罪恶之都挑战或扫荡1次,Khiêu chiến hoặc càn quét Thành Phố Tội Ác 1 lần
己方收到的持续伤害回合数减1。,Giảrm 1 lượt sát thương duy trì bên ta phải chịu
可是神器沙漏……,Nhưng Đồng Hồ Cát……
凯生命值首次低于50%时恢复全体友方120%攻击力的生命值。,"Khi HP Branium <50% lần đầu, hồi cho toàn bộ đồng đội lượng HP bằng 120% tấn công bản thân"
地牢领主挑战10次,Khiêu chiến Lãnh Chúa Địa Lao 10 lần
梦境边缘,Mộng Cảnh
生命值低于40%时，受到伤害的8%转化为自身生命恢复。,"Khi HP < 40%, chuyển 8% sát thương nhận phải thành HP hồi cho bản thân"
"      “你是说，奴德尔被一介人类给干掉了？”王座上的球女问。
      “人类的市镇，人类的屋子。”报信者说，“人类的枪。”
      枪……她沉吟，一个使用枪来狩猎恶魔的人类。会是他吗？
      “奴德尔本来就是我们中最弱的一个，被宰掉一点儿也不奇怪。”有人说，“我会找到并终结那人的性命，女王大人。”
      “那家伙虽然弱，绝不是区区一个人类就能对付的。对方设了圈套！”另一个人反对。
      一番争吵后，所有人都等着球女的决断。
      你必须得做出选择了，球女……她在心中告诫自己。你是这群恶魔的女王，你必须要学会统御。
      她站了起来，说：“带我去人类的市镇。”
      市镇中的住民们，起初并不知道，他们即将迎来怎样一场灾难。
      苍白的头发，漆黑的王冠。
      焚天的黑火降下，生命尽数被剥离。起先还有祈祷与呼救，后来便只有哀嚎，最终，除了火焰噼啪燃烧的声音，再无其他。
      “这便是蝼蚁们的下场。”球女说，“诡计，圈套？在绝对的力量面前毫无作用。如果他们妄想与我们作对，那就来吧！”
      她的臣民亢奋欢呼。他们体型增大，翅膀大张，解除了伪装，变成了恶魔的姿态。
      她会赢得“竞赛”，球女想，任何人都不能阻拦。任何人！","""Ý bạn là, Nô Đức Nhĩ đã bị giết bởi một con người?"" Cô gái bóng trên ngai vàng hỏi. 
""Thị trấn của con người, nhà của con người,"" người đưa tin nói ""Súng của con người."" 
Súng ... cô trầm ngâm, một con người dùng súng để săn quỷ. Liệu có phải anh ta không? 
""Nô Đức Nhĩ là kẻ yếu nhất trong chúng ta, và không có gì ngạc nhiên khi hắn ta bị giết"", ai đó nói, ""Ta sẽ tìm và kết liễu cuộc đời của người đàn ông đó, Nữ hoàng."" 
""Mặc dù tên đó yếu, nhưng hắn không thể bị xử lý bởi một con người đơn thuần. Bên kia đã gài bẫy!"" Một người khác phản đối. 
Sau một hồi cãi vã, mọi người đều chờ đợi quyết định của cầu nữ. 
Bạn phải lựa chọn, cầu nữ ... cô ấy tự nhủ trong lòng. Bạn là nữ hoàng của những con quỷ này, và bạn phải học cách cai trị. 
Cô đứng lên và nói: ""Đưa ta đến thị trấn loài người."" 
Những cư dân của thị trấn ban đầu không biết loại thảm họa nào mà họ sắp sửa gây ra. 
Tóc nhợt nhạt, đội vương miện sẫm màu. 
Ngọn lửa đen kịt thiêu đốt bầu trời giáng xuống, tất cả HP đều bị tước đi. Ban đầu là những lời cầu nguyện và những lời kêu cứu, sau đó chỉ có tiếng than khóc, và cuối cùng, chẳng có gì ngoài tiếng lửa nổ tanh tách. 
""Đây là ngày tận thế của Lâu Nghĩ Môn,"" cầu nữ nói - ""Những trò lừa, những cái bẫy? Chúng vô dụng khi đối mặt với quyền lực tuyệt đối. Nếu chúng muốn chống lại chúng ta, hãy cố lên!"" 
Thần dân của cô reo hò phấn khích. Chúng lớn dần về kích thước, đôi cánh của chúng sải rộng, lớp ngụy trang của chúng được nâng lên, và chúng mang dáng vẻ của quỷ dữ. 
Cô ấy sẽ giành chiến thắng trong ""cuộc đua"", cầu nữ nghĩ, và không ai có thể ngăn cản cô ấy. bất cứ ai!"
